channel_name,channel_url,bio,subscribers,total_channel_views,total_channel_videos,video_id,video_url,video_title,video_description,published_at,video_views,video_likes,video_comments
The Lifestyle Cog,https://www.youtube.com/channel/UC8GRLDtr12b91BhGq-x92Zg,"Hello! I am Jashan. Welcome to my channel. :) I share Lookbooks, how to style videos, fashion tips and occasional vlogs + something of everything that makes me happy.",1090000,286322835,303,l05IemA_05M,https://www.youtube.com/watch?v=l05IemA_05M,30 Day Transformation & My Workout Routine | How I lost Belly Fat with PCOS | Episode 3,Coupon code: thelif1 to enjoy 20% off on full-priced items Join our Halara Circle event: http://halara.link/s/140J5zGdPM Walking Pad: https://ca.walkingpad.com/products/walkingpad-r1-pro-2in1-foldable-treadmill DAY 1: Lower Body Leggings: http://halara.link/s/140JK6fYYP Color：Carbon Size：S(7/8) Top: https://ca.thehalara.com/products/Softlyzero-Plush-Padded-V-Neck-Plain-Tank-Top-30-771 Color: White & Turbulence Size: S DAY 2: Upper Body Tank Top: https://ca.thehalara.com/products/Ribbed-Round-Neck-Basic-Casual-Tank-Top-30-640?variant=3155671&locale=ca Color：Clear Green Size：S Leggings: Sold Out Bra: https://ca.thehalara.com/products/Basic-Padded-Workout-Cropped-Tank-Top-30-728 Color: Blue Spruce Size: S Day 3: Lower Body Top: http://halara.link/s/140JK6fYYQ Color：Mica Gray Denim Size：M Leggings: https://ca.thehalara.com/products/SoCinched-High-Waisted-Butt-Lifting-Tummy-Control-Side-Pocket-Shaping-Capri-Training-UltraSculpt-Leggings-30-661 Color: Night's Purple Size: S Day 4: Upper Body Leggings: http://halara.link/s/140JK6fYYL Color：Warm Mid Blue Size：S(full_length) U Neck Backless Crossover Barre Ballet Dance Tank Top http://halara.link/s/140JK6fYYN Color：Electric Blue Size：S Day 5: Top: http://halara.link/s/140JK6fYYO Color：Potpourri Size：S Leggings: http://halara.link/s/140JK6fYYP Color：Volcanic Ash Size：S(7/8) Some other Faves: Tops: https://ca.thehalara.com/products/Softlyzero-Plush-Halter-Thumb-Hole-Long-Sleeve-Cropped-2-in-1-Yoga-Sports-Top-30-720 https://ca.thehalara.com/products/Solid-Thumb-Hole-Yoga-Sports-Top-30-638 Biker Shorts: http://halara.link/s/140JK6fYYR Leggings http://halara.link/s/140JK6fYYM Don't forget to Subscribe to the channel here: https://www.youtube.com/c/TheLifestyleCog?sub_confirmation=1 ⭐️ Don't be a stranger! Instagram: https://www.instagram.com/the_lifestyle_cog/ ⭐️ Credits Music by Epidemic Sound https://www.epidemicsound.com,2025-05-31T12:35:45Z,3542,185,50
The Lifestyle Cog,https://www.youtube.com/channel/UC8GRLDtr12b91BhGq-x92Zg,"Hello! I am Jashan. Welcome to my channel. :) I share Lookbooks, how to style videos, fashion tips and occasional vlogs + something of everything that makes me happy.",1090000,286322835,303,ywrHdTLrUKk,https://www.youtube.com/watch?v=ywrHdTLrUKk,This outfit won’t disappoint 😌 #ootd #workwear #officeoutfits,,2025-05-28T13:01:52Z,115254,3075,35
The Lifestyle Cog,https://www.youtube.com/channel/UC8GRLDtr12b91BhGq-x92Zg,"Hello! I am Jashan. Welcome to my channel. :) I share Lookbooks, how to style videos, fashion tips and occasional vlogs + something of everything that makes me happy.",1090000,286322835,303,OK69p_mv-vs,https://www.youtube.com/watch?v=OK69p_mv-vs,It’s giving no filter skin! 😮 #ad,The​​⁠ @lorealparisindia Infallible 24H Fresh Wear Serum Tint gives me skincare + natural coverage in one ✨ #InfallibleInMyTint,2025-05-27T01:48:28Z,184654,5137,39
The Lifestyle Cog,https://www.youtube.com/channel/UC8GRLDtr12b91BhGq-x92Zg,"Hello! I am Jashan. Welcome to my channel. :) I share Lookbooks, how to style videos, fashion tips and occasional vlogs + something of everything that makes me happy.",1090000,286322835,303,5Efter84CCo,https://www.youtube.com/watch?v=5Efter84CCo,Such unique set 🤩🤩 #officewear #workwear #officeoutfitinspo,"Vest: https://www.zara.com/ca/en/linen-dart-vest-p02746785.html?v1=452252365 (wearing M) Culottes: https://www.zara.com/ca/en/linen-blend-culottes-p02834785.html?v1=452252366 (wearing M) Medium Gather Bag - Ebony: https://bit.ly/3GabTRR (Discount Code: LifestyleCog12) Black Heels: http://bit.ly/3K7beyD (use code JASHAN15) Jewelry: https://linjer.co/shop-with-TheLifestyleCog (code ""JASHAN”)",2025-05-22T13:01:45Z,127645,3528,17
The Lifestyle Cog,https://www.youtube.com/channel/UC8GRLDtr12b91BhGq-x92Zg,"Hello! I am Jashan. Welcome to my channel. :) I share Lookbooks, how to style videos, fashion tips and occasional vlogs + something of everything that makes me happy.",1090000,286322835,303,3n8seCo020s,https://www.youtube.com/watch?v=3n8seCo020s,So many pockets 😮 #summeroutfits #activewear,Search *57013958 57017429* on SHEIN and use coupon *TheLifestyleCog15GM* for 15% OFF #Glowmode #Glowmodeshorts #runningshorts @glowmode_official #ad,2025-05-20T13:47:07Z,231298,4339,39
