channel_name,channel_url,bio,subscribers,total_channel_views,total_channel_videos,video_id,video_url,video_title,video_description,published_at,video_views,video_likes,video_comments
Malvika Sitlani,https://www.youtube.com/channel/UCurIxpcdDLU8sgHKN2TXJHw,This is where you learn a LOT about Beauty & Life,834000,149065316,730,CiECGUwOT2E,https://www.youtube.com/watch?v=CiECGUwOT2E,New Laneige Lip Balms!!!!😍,,2025-05-31T09:54:34Z,14282,715,3
Malvika Sitlani,https://www.youtube.com/channel/UCurIxpcdDLU8sgHKN2TXJHw,This is where you learn a LOT about Beauty & Life,834000,149065316,730,JqhdN_QD34k,https://www.youtube.com/watch?v=JqhdN_QD34k,I miss those moments from my past...,"Hello! I'm back with another chatty vlog! As if, I do anything else apart from talk lol! I love to sit down and share my heart with you! I hope to connect with most of you. I love you!",2025-05-31T07:55:20Z,22845,1046,79
Malvika Sitlani,https://www.youtube.com/channel/UCurIxpcdDLU8sgHKN2TXJHw,This is where you learn a LOT about Beauty & Life,834000,149065316,730,2-L2bSR4afI,https://www.youtube.com/watch?v=2-L2bSR4afI,Accepting my postpartum body has been difficult...😞,"Hello! I'm trying to keep up with these vlogs as much as possible! I love that I can truly be myself and share my deepest fears, thoughts, and concerns with you girlies! Please sound off in the comments section and lets have a chat about today's topic, if anything resonated with you at all, please do let me know down below! I love you Xx",2025-05-21T13:30:03Z,126856,2879,205
Malvika Sitlani,https://www.youtube.com/channel/UCurIxpcdDLU8sgHKN2TXJHw,This is where you learn a LOT about Beauty & Life,834000,149065316,730,heN6n7E5KD8,https://www.youtube.com/watch?v=heN6n7E5KD8,I had to let this one go...,"Hieee...It's been ages since I uploaded a home vlog, but here you go! I've missed you! Get the Maybelline Sunkisser here: bit.ly/3WK4wGd #Ad #MaybellineIndia #MaybellineMakeup #SunkisserGoldenHourGlow",2025-05-13T08:58:04Z,118673,2987,238
Malvika Sitlani,https://www.youtube.com/channel/UCurIxpcdDLU8sgHKN2TXJHw,This is where you learn a LOT about Beauty & Life,834000,149065316,730,1c0aNBHj-vw,https://www.youtube.com/watch?v=1c0aNBHj-vw,First of many Fit checks! 🥹,,2025-04-27T11:13:35Z,533401,19053,202
