channel_name,channel_url,bio,subscribers,total_channel_views,total_channel_videos,video_id,video_url,video_title,video_description,published_at,video_views,video_likes,video_comments
maitri boutique,https://www.youtube.com/channel/UC-8e8WIHublTFAgfyqVaG9Q,"FOR ONLINE SEWING COURSE contact me on +918059311082 Welcomes you to our channel 🙏 Me and my sister works for this channel ,we are trying to make better content for you and always hard work for a unique and useful content . All types of videos (see full silai course playlist ) are available on our channel ,these will help you to make a perfect and professional tailor 🌺🌺🌺 ______________________ ❤️❤️❤️❤️❤️You always can put yours doubt in comment box ,you will excited to see that you find a quick reply ☺️☺️ _________&__&&__________ Hope you will enjoy our channel and make it is a big family 👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧 Thanks all 🙏🙏🙏🙏🙏🙏🙏",534000,126045458,803,br8OjoAswKE,https://www.youtube.com/watch?v=br8OjoAswKE,trendy sleeves design 2025 by maitri Boutique/ baju design new /astin design,trendy sleeves design 2025 by maitri Boutique/ baju design new /astin design,2025-05-28T05:18:52Z,4663,67,0
maitri boutique,https://www.youtube.com/channel/UC-8e8WIHublTFAgfyqVaG9Q,"FOR ONLINE SEWING COURSE contact me on +918059311082 Welcomes you to our channel 🙏 Me and my sister works for this channel ,we are trying to make better content for you and always hard work for a unique and useful content . All types of videos (see full silai course playlist ) are available on our channel ,these will help you to make a perfect and professional tailor 🌺🌺🌺 ______________________ ❤️❤️❤️❤️❤️You always can put yours doubt in comment box ,you will excited to see that you find a quick reply ☺️☺️ _________&__&&__________ Hope you will enjoy our channel and make it is a big family 👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧 Thanks all 🙏🙏🙏🙏🙏🙏🙏",534000,126045458,803,88aCdsYk7rw,https://www.youtube.com/watch?v=88aCdsYk7rw,साड़ी से बनाए ड्रेस 😍Online and offline sewing classes available +918059311082,hello everyone today we are going to reuse the old bridal dupatta we are converting this into a beautiful jacket which can use for pair of with car saree crop top and umbrella plazo and many other options available so if you like this please share your opinion in comment.,2025-05-27T11:13:34Z,9103,51,0
maitri boutique,https://www.youtube.com/channel/UC-8e8WIHublTFAgfyqVaG9Q,"FOR ONLINE SEWING COURSE contact me on +918059311082 Welcomes you to our channel 🙏 Me and my sister works for this channel ,we are trying to make better content for you and always hard work for a unique and useful content . All types of videos (see full silai course playlist ) are available on our channel ,these will help you to make a perfect and professional tailor 🌺🌺🌺 ______________________ ❤️❤️❤️❤️❤️You always can put yours doubt in comment box ,you will excited to see that you find a quick reply ☺️☺️ _________&__&&__________ Hope you will enjoy our channel and make it is a big family 👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧 Thanks all 🙏🙏🙏🙏🙏🙏🙏",534000,126045458,803,td-pM7JUNGw,https://www.youtube.com/watch?v=td-pM7JUNGw,आज ऑफलाइन क्लास में सीखा कॉलर कुर्ती कटिंग | Maitri Boutique & Training +918059311082,आज ऑफलाइन क्लास में सीखा कॉलर कुर्ती कटिंग | Maitri Boutique & Training +918059311082 ऑनलाइन क्लास करने के लिए डाउनलोड करे हमारा मैत्री बुटीक ऐप download our app :-https://play.google.com/store/apps/details?id=in.maitriboutique visit our website :- www.maitriboutique.in सिलाई ट्रेनिंग सिलाई सीखे tailoring classes sewing course silai class stitching course silai course free free silai course free tailoring classes maitri Boutique tailoring classes maitri training institute Gurgaon maitri Boutique gurgaon,2025-04-17T05:30:24Z,1120,30,7
maitri boutique,https://www.youtube.com/channel/UC-8e8WIHublTFAgfyqVaG9Q,"FOR ONLINE SEWING COURSE contact me on +918059311082 Welcomes you to our channel 🙏 Me and my sister works for this channel ,we are trying to make better content for you and always hard work for a unique and useful content . All types of videos (see full silai course playlist ) are available on our channel ,these will help you to make a perfect and professional tailor 🌺🌺🌺 ______________________ ❤️❤️❤️❤️❤️You always can put yours doubt in comment box ,you will excited to see that you find a quick reply ☺️☺️ _________&__&&__________ Hope you will enjoy our channel and make it is a big family 👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧 Thanks all 🙏🙏🙏🙏🙏🙏🙏",534000,126045458,803,I7kOIs9a5-A,https://www.youtube.com/watch?v=I7kOIs9a5-A,Very Easy Trendy Farshi Salwar Cutting and Stitching | farsi salwar | maitri boutique,Very Easy Trendy Farshi Salwar Cutting and Stitching | farsi salwar Farshi Salwar Cutting and Stitching farshi salwar farshi salwar design farshi salwar Cutting maitri Boutique farsi salwar cutting and stitching farsi salwar cutting farsi salwar suit design how to make farsi salwar farsi salwar stitching farsi salwar kameez farsi salwar set how to cut farsi salwar farsi salwar suit cutting and stitching salwar design salwar design 2025 फर्शी सलवार फर्शी सलवार की कटिंग फारसी सलवार फारसी सलवार की कटिंग फारसी सलवार की फारसी सलवार कटिंग फैंसी सलवार फारसी सलवार कटिंग एंड स्टिचिंग फारसी सलवार डिजाइन फैंसी सलवार सूट फैंसी सलवार की कटिंग फारसी सलवार कैसे बनाएं फैंसी सलवार सूट की डिजाइन Pakistani salwar cutting parsi salwar cutting farsi shalwar cutting farsi salwar stitching #farsisalwar #farshishalwar #cuttingandstiching #maitriboutique #farshishalwarcutting #farsisalwarstitching #farsi #farsisalwarcuttingandstitching #pakistanisalwar #फारसीसलवार #salwarcutting,2025-03-23T05:15:00Z,17657,332,19
maitri boutique,https://www.youtube.com/channel/UC-8e8WIHublTFAgfyqVaG9Q,"FOR ONLINE SEWING COURSE contact me on +918059311082 Welcomes you to our channel 🙏 Me and my sister works for this channel ,we are trying to make better content for you and always hard work for a unique and useful content . All types of videos (see full silai course playlist ) are available on our channel ,these will help you to make a perfect and professional tailor 🌺🌺🌺 ______________________ ❤️❤️❤️❤️❤️You always can put yours doubt in comment box ,you will excited to see that you find a quick reply ☺️☺️ _________&__&&__________ Hope you will enjoy our channel and make it is a big family 👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧👨‍👩‍👧‍👧 Thanks all 🙏🙏🙏🙏🙏🙏🙏",534000,126045458,803,Yxx-wGO6STI,https://www.youtube.com/watch?v=Yxx-wGO6STI,साड़ी से ड्रेस बनाने का जबरदस्त आइडिया/Saree Reuse,How to make a dress from saree/Gown cutting/ Box pleated gown cutting & stitching/ Saree Reuse saree se dress how to make a dress from saree saree se dress design saree se dress saree se dress cutting and stitching how to make saree dress cutting and stitching how to make dress from saree making a dress out of saree how to make saree dress without cutting Sewing new kurti design kurti design saree reuse ideas saree to dress dress from saree viral kurti design summer kurti design frock kurti design box pleated frock cutting and stitching box pleated skirt tutorial box pleated lehenga cutting and stitching box pleated kurti cutting and stitching box pleated skirt box pleated lehenga box pleated gown cutting and stitching box pleated skirt cutting and stitching box pleated saree draping box pleated gown how to wear saree dress #sareereuse #sareetransformation #sareesedress #dressfromsaree #maitriboutique #sari #gowncutting #sewing #sewingtutorial #sewingprojects #sewingtips #gowncutting #gowncollection #blousedesign #baju #fashion #halterneck #halterneckblouse #neckdesign #neckdesigns #neckdesigntutorial #sewingclasses #tailoringclassess,2025-03-16T07:00:27Z,875,28,10
