channel_name,subscribers,total_channel_views,total_channel_videos,video_id,video_title,published_at,video_views,video_likes,video_comments,video_url,thumbnail_medium,
Anushka Hazra,669000,480782132,768,72ffKM5LWso,EP 1: Bali Diaries (Went On A Solo Trip!!) ????,2025-05-30T15:30:44Z,16584,1149,8,https://www.youtube.com/shorts/72ffKM5LWso,https://i.ytimg.com/vi/72ffKM5LWso/mqdefault.jpg,https://i.ytimg.com/vi/72ffKM5LWso/hqdefault.jpg
Anushka Hazra,669000,480782132,768,rBGdi3OmtQk,Let’s talk about body washes!,2025-05-22T15:07:17Z,152554,850,15,https://www.youtube.com/shorts/rBGdi3OmtQk,https://i.ytimg.com/vi/rBGdi3OmtQk/mqdefault.jpg,https://i.ytimg.com/vi/rBGdi3OmtQk/hqdefault.jpg
Anushka Hazra,669000,480782132,768,QvT8sqRe_h8,get ready with me for pilates,2025-05-13T15:51:10Z,51497,2005,24,https://www.youtube.com/shorts/rBGdi3OmtQk,https://i.ytimg.com/vi/QvT8sqRe_h8/mqdefault.jpg,https://i.ytimg.com/vi/QvT8sqRe_h8/hqdefault.jpg
Anushka Hazra,669000,480782132,768,ELtNX-R-908,IKEA Haul (Setting Up My New Apartment) ???,2025-05-07T16:10:24Z,184796,6046,23,https://www.youtube.com/shorts/ELtNX-R-908,https://i.ytimg.com/vi/ELtNX-R-908/mqdefault.jpg,https://i.ytimg.com/vi/ELtNX-R-908/hqdefault.jpg
Anushka Hazra,669000,480782132,768,cUxCiRUY8iI,Met Gala 2025: Best & Worst Dressed? ????,2025-05-06T11:24:14Z,2075518,91297,487,https://www.youtube.com/shorts/cUxCiRUY8iI,https://i.ytimg.com/vi/cUxCiRUY8iI/mqdefault.jpg,https://i.ytimg.com/vi/cUxCiRUY8iI/hqdefault.jpg
