channel_name,channel_url,bio,subscribers,total_channel_views,total_channel_videos,video_id,video_url,video_title,video_description,published_at,video_views,video_likes,video_comments
Anushka Hazra,https://www.youtube.com/channel/UCHCo1FLbrMCasi1L8m4mHXw,just your girl-next-door sharing all things fun & fashion💛 snapchat: @anushkahazraa,669000,480856797,769,WntisMU-lZs,https://www.youtube.com/watch?v=WntisMU-lZs,Vacation Outfit Ideas🌴🌺,,2025-05-31T13:30:23Z,13119,854,9
Anushka Hazra,https://www.youtube.com/channel/UCHCo1FLbrMCasi1L8m4mHXw,just your girl-next-door sharing all things fun & fashion💛 snapchat: @anushkahazraa,669000,480856797,769,72ffKM5LWso,https://www.youtube.com/watch?v=72ffKM5LWso,EP 1: Bali Diaries (Went On A Solo Trip!!) 🌊🌺,,2025-05-30T15:30:44Z,23042,1494,10
Anushka Hazra,https://www.youtube.com/channel/UCHCo1FLbrMCasi1L8m4mHXw,just your girl-next-door sharing all things fun & fashion💛 snapchat: @anushkahazraa,669000,480856797,769,rBGdi3OmtQk,https://www.youtube.com/watch?v=rBGdi3OmtQk,Let’s talk about body washes!🧴🫧#bodywash #natural #aromatic,"Most body wash brands use synthetic fragrances and extracts that smell cheap and artificial. But Palmolive body wash uses 100% natural extracts that smell and feel great. This variant has juicy tangerines & fresh lemongrass🌿 which I've loved using. ✨No fake, diluted stuff – just fresh vibes and rich aromas to kickstart the day 💚 @PalmoliveIndia Link: https://www.amazon.in/stores/page/A098B8AB-7E29-4A42-BE18-30D113183C70?channel=YTANUSH #SavourTheFeeling #PalmoliveBodywash #PalmoliveIndia #Ad #NaturalExtracts #Aroma #BodyWash #Luxury #FragranceLovers #NaturalFragrance #NaturalAromas #ScentOfNature",2025-05-22T15:07:17Z,153187,6095,15
Anushka Hazra,https://www.youtube.com/channel/UCHCo1FLbrMCasi1L8m4mHXw,just your girl-next-door sharing all things fun & fashion💛 snapchat: @anushkahazraa,669000,480856797,769,QvT8sqRe_h8,https://www.youtube.com/watch?v=QvT8sqRe_h8,get ready with me for pilates🧘🏻‍♀️,"Getting ready in just 10 minutes for my Pilates class—let’s do this!! Sharing my go-to outfit + the only sunscreen I trust on sunny days: Aqualogica Bright+ Tone Up Sunscreen. It instantly brightens, feels super lightweight, and gives powerful SPF 50+ protection with ZERO white cast! I’ve linked it below—don’t forget to use my discount code 20Anushka✨ #GetReadyWithMe #PilatesVlog #MorningRoutine #Sunscreen #Aqualogica #ToneUpSunscreen #SPF50 #GRWM #Shorts",2025-05-13T15:51:10Z,51928,2018,24
Anushka Hazra,https://www.youtube.com/channel/UCHCo1FLbrMCasi1L8m4mHXw,just your girl-next-door sharing all things fun & fashion💛 snapchat: @anushkahazraa,669000,480856797,769,ELtNX-R-908,https://www.youtube.com/watch?v=ELtNX-R-908,IKEA Haul (Setting Up My New Apartment) 🛋️💛,,2025-05-07T16:10:24Z,185294,6056,23
