channel_name,channel_url,bio,subscribers,total_channel_views,total_channel_videos,video_id,video_url,video_title,video_description,published_at,video_views,video_likes,video_comments
Sejal Kumar,https://www.youtube.com/channel/UCK-l8DE1lyZnguaRQr7_Y-Q,"vlogs, life, music, #1MinDrama",1470000,349306501,1057,CPxdGpk63-M,https://www.youtube.com/watch?v=CPxdGpk63-M,If Naina Rejected Bunny? YJHD #shortfilm #1MinDrama,,2025-05-30T11:30:10Z,45136,2770,68
Sejal Kumar,https://www.youtube.com/channel/UCK-l8DE1lyZnguaRQr7_Y-Q,"vlogs, life, music, #1MinDrama",1470000,349306501,1057,xjI1rgmIERo,https://www.youtube.com/watch?v=xjI1rgmIERo,Cannes Day but Routine remains the same!,,2025-05-23T11:34:20Z,75758,1783,9
Sejal Kumar,https://www.youtube.com/channel/UCK-l8DE1lyZnguaRQr7_Y-Q,"vlogs, life, music, #1MinDrama",1470000,349306501,1057,l279lWVEV_I,https://www.youtube.com/watch?v=l279lWVEV_I,I can’t believe I walked the Cannes Red Carpet | How it Happened | Sejal Kumar,#sejalvlogs Hey guys! We made it to the Cannes Red Carpet! Hope you enjoy the full journey :)) Edit- Ria Bangard My Original Music: https://www.youtube.com/watch?v=Gb51djw47jM&list=PL-1BrqtS1OmuqKX2BzGvmGYBF1hZEs_5Y My Vlogs: https://www.youtube.com/playlist?list=PL-1BrqtS1OmvfQ5o-xid-mOdnl3HaooZB 1MinDrama Series: https://www.youtube.com/watch?v=0B-_lr_nU5E&list=PL-1BrqtS1Omt1iwxaFKFU4B2n2XGM9RAl,2025-05-23T11:31:19Z,20392,597,63
Sejal Kumar,https://www.youtube.com/channel/UCK-l8DE1lyZnguaRQr7_Y-Q,"vlogs, life, music, #1MinDrama",1470000,349306501,1057,oH00CLOfAKc,https://www.youtube.com/watch?v=oH00CLOfAKc,Mom pep talk is always needed 😝,,2025-05-22T11:13:31Z,74558,1986,21
Sejal Kumar,https://www.youtube.com/channel/UCK-l8DE1lyZnguaRQr7_Y-Q,"vlogs, life, music, #1MinDrama",1470000,349306501,1057,7-h0c26TYkM,https://www.youtube.com/watch?v=7-h0c26TYkM,Hair and Makeup for the Cannes Red Carpet!,,2025-05-21T11:48:29Z,133367,2584,23
