channel_name,channel_url,bio,subscribers,total_channel_views,total_channel_videos,video_id,video_url,video_title,video_description,published_at,video_views,video_likes,video_comments
Vigneshwara Silks,https://www.youtube.com/channel/UCrmk2eSxVavd9njIfFj9sgQ,,540000,229044545,7009,1kvLqVpdbi8,https://www.youtube.com/watch?v=1kvLqVpdbi8,Kanchi Kalakshetra Free Sarees on ₹2500 Bill – Anniversary Sale at Kothapet |EP-519796| #sareesale,"Get ready for the biggest saree celebration at Vigneshwara Silks – Kothapet Branch! 🎉 From June 4th to 10th, shop our premium Mini Kanchi Kalakshetra Saree collection at massive discounts. And here’s the highlight – get a FREE SAREE on a purchase of just ₹2500/-! 💃 Don’t miss this anniversary sale – your wardrobe upgrade is just a visit away! 💫 📍 Visit Vigneshwara Silks, Kothapet – where tradition meets elegance. Branches Contact Numbers ESI Erragadda :9603938938 Kukatpally:9052919988 7207409898, Kothapet:8096768768 A.S Rao Nagar:8142426444, Chanda Nagar:9781231239, Vizag:9781231239 Website links : daily wear sarees : https://vigneshwarasilks.com/category/daily-wear-sarees-AObvK Georgette sarees : https://vigneshwarasilks.com/category/Georgette-pX7ip Crush sarees : https://vigneshwarasilks.com/category/Crush-sarees-cGOCF Casual Wear sarees : https://vigneshwarasilks.com/category/Casual-Wear-sarees-6JAJE classy sarees : https://vigneshwarasilks.com/category/classy-sarees-iOJ9B #saree #sareefashion #sareelove #sareelovers #silksaree #ethnicwear #fashion #sareeswag #desilook #sareediaries #indianwear #kanchipattu #weddingsaree #bridalsaree #sareehaul #freesaree #vigneshwarasilks #kalakshetra #kalakshetrasaree #kanchisaree #pattusaree #traditionalsaree #indianfashion #sareestyle #sareelook #indianoutfit #sareeoffers #anniversarysale #indianethnicwear #southindianfashion #kanchipattusaree #sareeonbudget #shoppingdeal #ethniclook #desistyle #silklove #pattulove #ethnicstyle #indianstyle #fashionindia #ethnicvibes #weddingseason #festivewear #trendingnow #sareegram #desifashion #sareecollection #shoppingmode #traditionalfashion #budgetfashion #ethnicshopping #kanchipattuoffers #discountshopping #freestuffindia #giftoffer #sareebrand #shopnow #offersarees #sareefest #hyderabadsarees #sareesofindia #beautifulsarees #freesareeoffer #vigneshwarasarees #indianclothing #traditionallook #shopinstyle #weddingready #kanchivaramsarees #budgetfriendlyfashion #festivelook #ethnicindia #sareeaddict #salealert #desiattire #silksale #bridalwear #desiwear #ethnicbrand #kothapetstore #sarees2025 #affordablefashion #traditionalsale #indianlookbook #kanchisale #kalakshetracollection #minikanchisaree #giftwithpurchase #dealalert #limitedoffers #freesareeindia #sareeoffersale #dailyethnic #sareetrends #ethnicdaily #shoppingvibes #stylealert #fashionhaul",2025-05-31T06:21:16Z,12037,88,0
Vigneshwara Silks,https://www.youtube.com/channel/UCrmk2eSxVavd9njIfFj9sgQ,,540000,229044545,7009,yt9Xq8Rt9Is,https://www.youtube.com/watch?v=yt9Xq8Rt9Is,"Light, Stylish & Gorgeous – Georgette Sarees #sareecollection #onlineshopping #onlinesarees #saree","Looking for something lightweight yet elegant? Our Georgette Sarees are perfect for daily wear and festive charm. Soft texture, rich prints, and vibrant colors – this collection blends comfort with class. Drape it once, and you’ll never look back. Only at Vigneshwara Silks – where style meets tradition. Branches Contact Numbers ESI Erragadda :9603938938 Kukatpally:9052919988 7207409898, Kothapet:8096768768, Chandanagar:9781231239 ,A.S Rao Nagar:8142426444, Vizag:9781231239 #georgettesaree #saree #sareelove #sareefashion #fashion #indianwear #ethnicwear #womenfashion #partywearsaree #sareestyle #trendysaree #sareehaul #ootd #indianoutfit #georgettesarees #ethniclook #dailywearsaree #lightweightsaree #sareevibes #vigneshwarasilks #sareecollection #fashionvideo #womensaree #fancysaree #floralsaree #desifashion #sareeinspo #fashiongram #sareeglam #georgettefabric #beautifulsaree #sareeoftheday #ethnicvibes #weddingwear #bridalwear #sareemagic #softsaree #fashiondiaries #indianstyle #sareedraping #drapingstyle #fashionista #sareeideas #stylingtips #sareetrends #newarrival #sareealert #bollywoodstyle #sareeobsession #ethnicinspiration #printedgeorgette #indianfashionblogger #outfitideas #glamsaree #dailywearlook #desilook #sareeforall #fashionlovers #sareelovers #fashioninspo #everydayethnic #indianbride #styleinspo #sareecrush #indianbeauty #ethnicstyle #georgettestyle #sareeforwork #modernethnicwear #classiclook #indianclothing #outfitreel #fashiongoals #lookbook #sareeshorts #reelvideo #viraloutfit #outfitreels #latestfashion #sareefashionvideo #glamsaree #sareeinspiration #sareegoals #minimallook #modernsaree #dailystyle #trendnow #ethnicgoals #trendingoutfit #sareegirl #elegantsaree #chicsaree #fashionlove #ethnicreel #newstylesaree #dailyethnicwear #fancydrapes #softfabric #vibecheck #desiglam",2025-05-31T06:16:34Z,10584,235,0
Vigneshwara Silks,https://www.youtube.com/channel/UCrmk2eSxVavd9njIfFj9sgQ,,540000,229044545,7009,fdFfy_U9Zhs,https://www.youtube.com/watch?v=fdFfy_U9Zhs,Kanchi Matte Pattu Bridal Sarees at Huge Discounts – Kothapet Branch Anniversary Offer!#pattusarees,"Brides-to-be, don’t miss the most awaited anniversary sale at Vigneshwara Silks – Kothapet Branch! From June 4th to 10th, enjoy massive discounts on Kanchi Matte Pattu Bridal Sarees, known for their elegance and timeless appeal. Make a purchase worth ₹2500 and receive a FREE SAREE – an exclusive festive offer! Grab rich bridal weaves in vibrant colours and luxurious textures – all at irresistible prices. Branches Contact Numbers ESI Erragadda :9603938938 Kukatpally:9052919988 7207409898, Kothapet:8096768768, Chandanagar:9781231239 ,A.S Rao Nagar:8142426444, Vizag:9781231239 #kanchipattusarees #bridalsarees #silksarees #weddingsarees #mattepattusarees #pattusarees #bridalwear #indianweddings #sareelove #southindianbride #sareecollection #sareeshopping #indianbride #kanchipuram #kanchipuramsarees #vigneshwarasilks #sareesale #anniversarysale #freedeals #freesaree #puresilk #puresilksarees #traditionalwear #bridalsareesale #indianfashion #indianweddingoutfit #bridetobe #kanchipattusilk #pattudesign #bridalstyle #weddingseason #weddingvibes #sareestyle #sareetradition #ethnicfashion #sareeboutique #mattepattu #kanchisilk #bridalshopping #southfashion #sareefashion #mattefinishsaree #silksale #kanchisale #budgetshopping #sareegift #festivaloffer #silkstore #discountsaree #sareebonanza #pattushop #sareewear #sareetrends #newcollectionsaree #ethnicsale #bridal2025 #wedding2025 #indianethnicwear #indianbridewear #kanchitradition #kanchipattuoffer #vigneshwarasarees #kothapetstore #sareetrend2025 #sareelovers #southindianwear #kanchipattubride #kanchipattucollection #kanchipattudesign #ethnicstyle #fashiondeal #bridalsilk #kanchisareestore #kothapetbridals #sareevideo #fashionshorts #weddingwear #bridewear #sareehaul #ethnicshopping #indianstyle #kanchipattuspecial #sareefestival #bridalfashion2025 #weddingsale2025 #ethniclook #silkspecial #pattushorts #luxurysarees #freesareeoffer #kanchifashion #bridetips #mattebridals #mattepattushorts #sareeunder2500 #sareedeal #kanchistyle #indianclothing #bridalsareestyle #fashion2025 #vigneshwarastore",2025-05-31T04:30:34Z,11827,141,0
Vigneshwara Silks,https://www.youtube.com/channel/UCrmk2eSxVavd9njIfFj9sgQ,,540000,229044545,7009,MXS7PA15nKQ,https://www.youtube.com/watch?v=MXS7PA15nKQ,Vigneshwara Silks is live,"Branches Contact Numbers ESI Erragadda :9603938938 Kukatpally:9052919988 7207409898, Kothapet:8096768768 A.S Rao Nagar:8142426444, Vizag:9781231239",2025-05-30T06:47:52Z,49318,549,0
Vigneshwara Silks,https://www.youtube.com/channel/UCrmk2eSxVavd9njIfFj9sgQ,,540000,229044545,7009,853-7jou2rs,https://www.youtube.com/watch?v=853-7jou2rs,Sarees That Sparkle Gracefully – Fancy Tissue Crush Collection #fancysarees #tissuesarees #saree,"Add a subtle sparkle to your wardrobe with our Fancy Tissue Crush Sarees. Designed for elegance and comfort, these sarees feature a lightweight, crushed texture with a soft shimmer, making them perfect for festive gatherings, weddings, and special moments. Available in a range of graceful pastel tones and rich hues, they offer both modern flair and traditional beauty. Shop now at Vigneshwara Silks for the perfect saree that complements every occasion. Branches Contact Numbers ESI Erragadda :9603938938 Kukatpally:9052919988 7207409898, Kothapet:8096768768, Chandanagar:9781231239 ,A.S Rao Nagar:8142426444, Vizag:9781231239 #fancytissuecrushsarees #tissuesaree #crushsaree #lightweightsaree #fancysaree #tissuesilksarees #weddingsarees #elegantsarees #shimmersaree #designercrushsarees #sareefashion #traditionalwear #bridalsaree #sareestyle #vigneshwarasilks #pastelsaree #latestindianwear #sareelovers #ethnicwear #silksaree #trendingnow #sareehaul #fashionindia #ethnicfashion #tissuesareelove #weddingcollection #indianfashion #fashionblogger #fashioninspo #sareeindia #indiandesigners #ethnicvibes #partywearsaree #ethnicchic #vocalforlocal #festivefashion #fashionreels #fashiontrends #vintagevibes #classicwear #modernlook #sareemagic #festivecollection #ontrend #diwalioutfit #bridallook #occasionwear #indianstyle #fashionvibes #timelessfashion #pastelvibes #sareelookbook #desistyle #ethnicinspo #fashiondaily #indiansaree #fashionstyle #reelitfeelit #fashiongram #outfitreel #sareeinspo #indianoutfit #traditionalstyle #weddingstyle #sareelove #indianwearstyle #sareeoftheday #ethnicootd #fashionistaindia #desiwear #ethnicinspiration #glamlooks #ethnicwearindia #womenfashion #sareeflair #stylecheck #modernethnicwear #gracesaree #ethnicessentials #ethniclookbook #sareeinspo #southindianfashion #weddingattire #bridalslay #traditionalattire #sareelooks #womenethnicwear #tissuesareefashion #sareegoals #sareeloversclub #fashionbuzz #tissuesareestyle #beautyinethnic #drapestyle #sareeglam #femininefashion",2025-05-30T06:45:43Z,14080,233,0
